#masa 1 28.5 g (Hierro)
tiempo	masa
0	1224.2
5	1223.5
10	1222.7
15	1221.9
20	1221.4
25	1220.7
30	1220.1
35	1219.4
40	1218.8
45	1218.1
50	1217.4
55	1216.8
60	1216.4
65	1215.6
70	1215.0
75	1214.2
80	1213.8
85	1213.2
90	1212.6
95	1211.4
100	1209.5
105	1208.3
110	1206.8
115	1205.8
120	1204.4
125	1203.2
130	1201.9
135	1200.7
140	1199.4
145	1198.0
150	1196.4
155	1195.3
160	1194.4
165	1193.5
170	1192.7
175	1192.2
180	1191.5
185	1190.8
190	1190.2
195	1189.6
200	1189.0
205	1188.5
210	1187.7
215	1187.2
220	1186.6
225	1186.1
230	1185.4
235	1184.9
240	1184.3
245	1183.8
250	1183.3
255	1182.5
260	1182.1
265	1181.5
270	1181.0
275	1180.4
280	1179.8
285	1179.3
290	1178.7
295	1178.1
