#masa 2 (aluminio) 16.7 g
tiempo	masa
0	1163.4
5	1162.9
10	1162.3
15	1161.7
20	1161.1
25	1160.6
30	1160.1
35	1159.6
40	1159.1
45	1158.4
50	1157.9
55	1157.3
60	1156.8
65	1156.3
70	1155.8
75	1155.2
80	1154.7
85	1154.2
90	1153.6
95	1152.1
100	1151.8
105	1150.3
110	1149.0
115	1148.8
120	1147.6
125	1146.2
130	1144.8
135	1142.5
140	1141.8
145	1140.7
150	1139.6
155	1138.5
160	1137.4
165	1136.3
170	1134.7
175	1133.9
180	1133.1
185	1132.4
190	1131.7
195	1131.2
200	1130.6
205	1130.0
210	1129.2
215	1128.8
220	1128.3
225	1127.7
230	1127.1
235	1126.5
240	1125.9
245	1125.3
250	1124.9
255	1124.3
260	1123.9
