#masa 3 (Zinc)
tiempo	masa
5	1165.6
10	1164.9
15	1164.4
20	1163.9
25	1163.5
30	1162.9
35	1162.4
40	1161.9
45	1161.3
50	1160.5
55	1160.3
60	1159.8
65	1159.2
70	1158.5
75	1158.0
80	1157.6
85	1157.1
90	1154.8
95	1153.1
100	1151.7
105	1150.7
110	1148.4
115	1146.8
120	1145.1
125	1143.6
130	1141.9
135	1140.4
140	1138.7
145	1137.2
150	1136.0
155	1134.3
160	1132.5
165	1129.4
170	1127.1
175	1126.1
180	1125.2
185	1124.4
190	1123.7
195	1123.1
200	1122.4
205	1121.8
210	1121.3
215	1120.7
220	1120.1
225	1119.5
230	1118.9
235	1118.3
240	1117.8
245	1117.2
250	1116.7
255	1116.2
260	1115.7
265	1115.2
270	1114.6
