#masa 4 (Cobre)
tiempo	masa
5	1093.7
10	1093.1
15	1092.6
20	1092.1
25	1091.6
30	1091.0
35	1090.5
40	1090.0
45	1089.5
50	1088.9
55	1088.4
60	1087.9
65	1087.4
70	1087.0
75	1086.4
80	1085.9
85	1086.0
90	1084.3
95	1083.2
100	1082.1
105	1080.9
110	1079.5
115	1078.3
120	1077.1
125	1075.9
130	1074.8
135	1073.5
140	1072.3
145	1071.2
150	1070.2
155	1069.1
160	1068.1
165	1067.0
170	1066.1
175	1065.2
180	1064.2
185	1063.2
190	1061.8
195	1060.5
200	1059.7
205	1059.0
210	1058.3
215	1057.7
220	1057.1
225	1056.5
230	1055.9
235	1055.4
240	1054.9
245	1054.3
250	1053.7
255	1053.2
260	1052.7
265	1052.2
270	1051.4
275	1051.0
280	1050.5
