#tiempo (s)	#Temperatura (k)	#masa g
0	345	1542.3
1	279	1541.1
2	223	1561.8
3	191	1560.8
4	152	1560.4
5	137	1560.0
6	119	1558.9
7	99	1558.2
8	88	1557.5
9	72	1556.5
10	79	1555.1
11	83	1554.7
12	81	1554.1
13	83	1553.3
14	73	1552.4
15	71	1551.6
16	67	1550.9
17	55	1550.3
18	52	1549.6
19	50	1548.5
20	48	1548.0
21	42	1547.0
22	46	1546.2
23	37	1545.4
24	43	1544.7
25	30	1543.8
26	46	1542.6
27	39	1541.9
28	23	1541.2
29	29	1540.4
30	17	1539.6
31	4	1538.7
32	3	1538.1
33	-3	1537.2
34	-15	1536.7
35	-29	1535.8
36	-39	1535.4
37	-49	1534.8
38	-58	1534.2
39	-65	1533.6
40	-71	1532.8
41	-74	1532.1
42	-78	1531.4
43	-84	1530.8
44	-89	1529.6
45	-92	1528.5
46	-94	1528.0
47	-95	1527.5
48	-98	1527.0
49	-99	1526.3
50	-101	1525.8
51	-102	1525.1
52	-103	1524.6
53	-104	1524.0
54	-105	1523.5
55	-107	1522.6
56	-108	1522.2
57	-108	1521.4
58	-109	1520.9
59	-110	1520.5
60	-112	1519.8
61	-113	1519.4
62	-114	1518.7
63	-115	1517.9
64	-116	1517.1
65	-117	1516.8
66	-118	1515.9
67	-119	1515.0
68	-119	1514.7
69	-119	1513.8
70	-121	1512.7
71	-121	1511.9
72	-122	1511.4
73	-122	1510.9
74	-123	1510.5
75	-124	1509.8
76	-124	1509.1
77	-126	1508.5
78	-127	1508.2
79	-127	1507.8
80	-127	1507.0
81	-127	1506.2
82	-127	1505.7
83	-127	1505.2
84	-127	1504.8
85	-127	1504.5
86	-127	1503.8
87	-127	1503.5
88	-127	1503.2
89	-127	1502.4
90	-127	1502.2
91	-127	1501.5
92	-127	1501.2
93	-127	1500.9
94	-127	1500.3
95	-127	1499.8
96	-127	1499.4
97	-127	1498.7
98	-127	1497.8
99	-127	1497.2
